//************************************************
//Board:5202
//File_Format_Version:3.4
//Janus_Release:4.3.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:4096
//Run#:1
//Start_Time_Epoch:1771535486411
//Start_Time_DateTime_UTC:Thu Feb 19 21:11:26 2026
//************************************************
TStamp_us,Trg_Id,Board_Id,Num_Chs,ChannelMask,CH_Id,DataType,PHA_LG,PHA_HG
13715.448,0,0,4,0x20010000400010,4,0x2,-1,2988
13715.448,0,0,4,0x20010000400010,22,0x2,-1,2714
13715.448,0,0,4,0x20010000400010,40,0x2,-1,3210
13715.448,0,0,4,0x20010000400010,53,0x2,-1,1893
52648.392,1,0,4,0x20000200020800,11,0x2,-1,2527
52648.392,1,0,4,0x20000200020800,17,0x2,-1,4095
52648.392,1,0,4,0x20000200020800,33,0x2,-1,3377
52648.392,1,0,4,0x20000200020800,53,0x2,-1,1596
124770.744,2,0,4,0x40100008000004,2,0x2,-1,3701
124770.744,2,0,4,0x40100008000004,27,0x2,-1,2745
124770.744,2,0,4,0x40100008000004,44,0x2,-1,4095
124770.744,2,0,4,0x40100008000004,54,0x2,-1,4095
210419.944,3,0,3,0x80020000000008,3,0x2,-1,3701
210419.944,3,0,3,0x80020000000008,41,0x2,-1,2350
210419.944,3,0,3,0x80020000000008,55,0x2,-1,4095
440442.768,4,0,4,0x80080020000008,3,0x2,-1,4095
440442.768,4,0,4,0x80080020000008,29,0x2,-1,2488
440442.768,4,0,4,0x80080020000008,43,0x2,-1,3356
440442.768,4,0,4,0x80080020000008,55,0x2,-1,4095
474573.832,5,0,3,0x1000000000020008,3,0x2,-1,4095
474573.832,5,0,3,0x1000000000020008,17,0x2,-1,2331
474573.832,5,0,3,0x1000000000020008,60,0x2,-1,1930
479636.344,6,0,4,0x1050000100,8,0x2,-1,2198
479636.344,6,0,4,0x1050000100,28,0x2,-1,4095
479636.344,6,0,4,0x1050000100,30,0x2,-1,4095
479636.344,6,0,4,0x1050000100,36,0x2,-1,4095
502435.424,7,0,2,0x400000008000,15,0x2,-1,2955
502435.424,7,0,2,0x400000008000,46,0x2,-1,2322
589541.768,8,0,3,0x1000000000020002,1,0x2,-1,2377
589541.768,8,0,3,0x1000000000020002,17,0x2,-1,2458
589541.768,8,0,3,0x1000000000020002,60,0x2,-1,4095
596816.384,9,0,5,0x40040028000400,10,0x2,-1,4095
596816.384,9,0,5,0x40040028000400,27,0x2,-1,4095
596816.384,9,0,5,0x40040028000400,29,0x2,-1,4095
596816.384,9,0,5,0x40040028000400,42,0x2,-1,3783
596816.384,9,0,5,0x40040028000400,54,0x2,-1,2296
619755.840,10,0,3,0x1000000040000800,11,0x2,-1,2959
619755.840,10,0,3,0x1000000040000800,30,0x2,-1,4095
619755.840,10,0,3,0x1000000040000800,60,0x2,-1,2821
637677.056,11,0,4,0x10004000200008,3,0x2,-1,4095
637677.056,11,0,4,0x10004000200008,21,0x2,-1,3096
637677.056,11,0,4,0x10004000200008,38,0x2,-1,2492
637677.056,11,0,4,0x10004000200008,52,0x2,-1,1569
696799.624,12,0,4,0x40200004000008,3,0x2,-1,3638
696799.624,12,0,4,0x40200004000008,26,0x2,-1,1711
696799.624,12,0,4,0x40200004000008,45,0x2,-1,3199
696799.624,12,0,4,0x40200004000008,54,0x2,-1,1958
742056.296,13,0,3,0x1000100100,8,0x2,-1,4095
742056.296,13,0,3,0x1000100100,20,0x2,-1,4095
742056.296,13,0,3,0x1000100100,36,0x2,-1,3636
775053.704,14,0,4,0x4010004000010,4,0x2,-1,2139
775053.704,14,0,4,0x4010004000010,26,0x2,-1,4095
775053.704,14,0,4,0x4010004000010,40,0x2,-1,1940
775053.704,14,0,4,0x4010004000010,50,0x2,-1,2750
806103.608,15,0,4,0x80000408004000,14,0x2,-1,4095
806103.608,15,0,4,0x80000408004000,27,0x2,-1,4001
806103.608,15,0,4,0x80000408004000,34,0x2,-1,2677
806103.608,15,0,4,0x80000408004000,55,0x2,-1,2228
810517.736,16,0,4,0x10002000080200,9,0x2,-1,4095
810517.736,16,0,4,0x10002000080200,19,0x2,-1,2097
810517.736,16,0,4,0x10002000080200,37,0x2,-1,3075
810517.736,16,0,4,0x10002000080200,52,0x2,-1,3148
827470.024,17,0,4,0x10004000100008,3,0x2,-1,4095
827470.024,17,0,4,0x10004000100008,20,0x2,-1,3061
827470.024,17,0,4,0x10004000100008,38,0x2,-1,3719
827470.024,17,0,4,0x10004000100008,52,0x2,-1,2388
859623.944,18,0,4,0x4200000100200,9,0x2,-1,3181
859623.944,18,0,4,0x4200000100200,20,0x2,-1,2177
859623.944,18,0,4,0x4200000100200,45,0x2,-1,3419
859623.944,18,0,4,0x4200000100200,50,0x2,-1,3989
949926.440,19,0,4,0x20001001000004,2,0x2,-1,4095
949926.440,19,0,4,0x20001001000004,24,0x2,-1,3381
949926.440,19,0,4,0x20001001000004,36,0x2,-1,3889
949926.440,19,0,4,0x20001001000004,53,0x2,-1,2189
1072013.896,20,0,2,0x800002000,13,0x2,-1,3070
1072013.896,20,0,2,0x800002000,35,0x2,-1,3688
1085236.856,21,0,4,0x10040002004000,14,0x2,-1,3307
1085236.856,21,0,4,0x10040002004000,25,0x2,-1,4095
1085236.856,21,0,4,0x10040002004000,42,0x2,-1,2390
1085236.856,21,0,4,0x10040002004000,52,0x2,-1,3688
1203116.608,22,0,3,0x1000400200000,21,0x2,-1,4095
1203116.608,22,0,3,0x1000400200000,34,0x2,-1,3629
1203116.608,22,0,3,0x1000400200000,48,0x2,-1,3255
1270009.328,23,0,4,0x100008004000008,3,0x2,-1,3200
1270009.328,23,0,4,0x100008004000008,26,0x2,-1,2381
1270009.328,23,0,4,0x100008004000008,39,0x2,-1,2350
1270009.328,23,0,4,0x100008004000008,56,0x2,-1,4095
1296574.216,24,0,4,0x10001000020040,6,0x2,-1,4095
1296574.216,24,0,4,0x10001000020040,17,0x2,-1,3665
1296574.216,24,0,4,0x10001000020040,36,0x2,-1,2497
1296574.216,24,0,4,0x10001000020040,52,0x2,-1,1789
1434872.656,25,0,5,0x1004840000010,4,0x2,-1,2743
1434872.656,25,0,5,0x1004840000010,30,0x2,-1,4095
1434872.656,25,0,5,0x1004840000010,35,0x2,-1,4095
1434872.656,25,0,5,0x1004840000010,38,0x2,-1,3209
1434872.656,25,0,5,0x1004840000010,48,0x2,-1,4095
1470189.376,26,0,4,0x10004000080100,8,0x2,-1,2621
1470189.376,26,0,4,0x10004000080100,19,0x2,-1,3386
1470189.376,26,0,4,0x10004000080100,38,0x2,-1,2786
1470189.376,26,0,4,0x10004000080100,52,0x2,-1,2435
1737080.832,27,0,4,0x880040000800,11,0x2,-1,1670
1737080.832,27,0,4,0x880040000800,30,0x2,-1,4095
1737080.832,27,0,4,0x880040000800,43,0x2,-1,2982
1737080.832,27,0,4,0x880040000800,47,0x2,-1,1573
1787156.336,28,0,3,0x10000002000400,10,0x2,-1,2040
1787156.336,28,0,3,0x10000002000400,25,0x2,-1,3899
1787156.336,28,0,3,0x10000002000400,52,0x2,-1,2834
2055353.528,29,0,3,0x804002000,13,0x2,-1,2309
2055353.528,29,0,3,0x804002000,26,0x2,-1,3242
2055353.528,29,0,3,0x804002000,35,0x2,-1,3624
2318898.464,30,0,3,0x1000002000000004,2,0x2,-1,3305
2318898.464,30,0,3,0x1000002000000004,37,0x2,-1,1649
2318898.464,30,0,3,0x1000002000000004,60,0x2,-1,2511
2379645.176,31,0,3,0x10000020020,5,0x2,-1,4095
2379645.176,31,0,3,0x10000020020,17,0x2,-1,3800
2379645.176,31,0,3,0x10000020020,40,0x2,-1,1863
2574995.720,32,0,4,0x100200000204000,14,0x2,-1,3721
2574995.720,32,0,4,0x100200000204000,21,0x2,-1,3067
2574995.720,32,0,4,0x100200000204000,45,0x2,-1,2895
2574995.720,32,0,4,0x100200000204000,56,0x2,-1,3718
2578665.272,33,0,4,0x1000100100010,4,0x2,-1,3763
2578665.272,33,0,4,0x1000100100010,20,0x2,-1,1644
2578665.272,33,0,4,0x1000100100010,32,0x2,-1,3287
2578665.272,33,0,4,0x1000100100010,48,0x2,-1,2092
2598809.896,34,0,3,0x40080002000000,25,0x2,-1,4095
2598809.896,34,0,3,0x40080002000000,43,0x2,-1,1576
2598809.896,34,0,3,0x40080002000000,54,0x2,-1,4095
2653269.744,35,0,4,0x100004000010200,9,0x2,-1,1812
2653269.744,35,0,4,0x100004000010200,16,0x2,-1,4095
2653269.744,35,0,4,0x100004000010200,38,0x2,-1,3347
2653269.744,35,0,4,0x100004000010200,56,0x2,-1,2000
2728164.480,36,0,4,0x40001000400080,7,0x2,-1,4095
2728164.480,36,0,4,0x40001000400080,22,0x2,-1,1829
2728164.480,36,0,4,0x40001000400080,36,0x2,-1,2891
2728164.480,36,0,4,0x40001000400080,54,0x2,-1,1758
2751629.736,37,0,4,0x10080000020100,8,0x2,-1,4095
2751629.736,37,0,4,0x10080000020100,17,0x2,-1,3238
2751629.736,37,0,4,0x10080000020100,43,0x2,-1,3540
2751629.736,37,0,4,0x10080000020100,52,0x2,-1,2880
2778939.232,38,0,4,0x800008000100080,7,0x2,-1,3541
2778939.232,38,0,4,0x800008000100080,20,0x2,-1,3066
2778939.232,38,0,4,0x800008000100080,39,0x2,-1,1706
2778939.232,38,0,4,0x800008000100080,59,0x2,-1,4095
2804374.136,39,0,3,0x1000000040000080,7,0x2,-1,3159
2804374.136,39,0,3,0x1000000040000080,30,0x2,-1,2007
2804374.136,39,0,3,0x1000000040000080,60,0x2,-1,2639
2931529.056,40,0,4,0x1000100000100200,9,0x2,-1,3856
2931529.056,40,0,4,0x1000100000100200,20,0x2,-1,2874
2931529.056,40,0,4,0x1000100000100200,44,0x2,-1,2253
2931529.056,40,0,4,0x1000100000100200,60,0x2,-1,4095
3051512.000,41,0,2,0x100000000800000,23,0x2,-1,3750
3051512.000,41,0,2,0x100000000800000,56,0x2,-1,2065
3224218.720,42,0,4,0x3000180000000,31,0x2,-1,2094
3224218.720,42,0,4,0x3000180000000,32,0x2,-1,4095
3224218.720,42,0,4,0x3000180000000,48,0x2,-1,2589
3224218.720,42,0,4,0x3000180000000,49,0x2,-1,1679
3364931.680,43,0,3,0x80000080008000,15,0x2,-1,1975
3364931.680,43,0,3,0x80000080008000,31,0x2,-1,2334
3364931.680,43,0,3,0x80000080008000,55,0x2,-1,2046
3537957.024,44,0,3,0x800040000800000,23,0x2,-1,4095
3537957.024,44,0,3,0x800040000800000,42,0x2,-1,2897
3537957.024,44,0,3,0x800040000800000,59,0x2,-1,3714
3575694.120,45,0,4,0x20002004001000,12,0x2,-1,3538
3575694.120,45,0,4,0x20002004001000,26,0x2,-1,4095
3575694.120,45,0,4,0x20002004001000,37,0x2,-1,4095
3575694.120,45,0,4,0x20002004001000,53,0x2,-1,1773
3619630.520,46,0,4,0x80020002000400,10,0x2,-1,2361
3619630.520,46,0,4,0x80020002000400,25,0x2,-1,2849
3619630.520,46,0,4,0x80020002000400,41,0x2,-1,2206
3619630.520,46,0,4,0x80020002000400,55,0x2,-1,4095
3725150.912,47,0,4,0x10004040001000,12,0x2,-1,2751
3725150.912,47,0,4,0x10004040001000,30,0x2,-1,4095
3725150.912,47,0,4,0x10004040001000,38,0x2,-1,2269
3725150.912,47,0,4,0x10004040001000,52,0x2,-1,1686
3753546.848,48,0,5,0x400200000a0040,6,0x2,-1,4095
3753546.848,48,0,5,0x400200000a0040,17,0x2,-1,4095
3753546.848,48,0,5,0x400200000a0040,19,0x2,-1,4095
3753546.848,48,0,5,0x400200000a0040,41,0x2,-1,1812
3753546.848,48,0,5,0x400200000a0040,54,0x2,-1,2106
3772561.984,49,0,3,0x200000400000008,3,0x2,-1,4095
3772561.984,49,0,3,0x200000400000008,34,0x2,-1,2071
3772561.984,49,0,3,0x200000400000008,57,0x2,-1,1557
3991058.784,50,0,3,0x80001000800000,23,0x2,-1,4095
3991058.784,50,0,3,0x80001000800000,36,0x2,-1,1910
3991058.784,50,0,3,0x80001000800000,55,0x2,-1,2908
4097337.336,51,0,4,0x10010002004000,14,0x2,-1,2848
4097337.336,51,0,4,0x10010002004000,25,0x2,-1,4095
4097337.336,51,0,4,0x10010002004000,40,0x2,-1,2366
4097337.336,51,0,4,0x10010002004000,52,0x2,-1,2336
4125294.728,52,0,2,0x400008000,15,0x2,-1,2082
4125294.728,52,0,2,0x400008000,34,0x2,-1,3319
4200447.024,53,0,3,0x200100000800000,23,0x2,-1,4095
4200447.024,53,0,3,0x200100000800000,44,0x2,-1,1900
4200447.024,53,0,3,0x200100000800000,57,0x2,-1,4095
4438153.504,54,0,6,0x8001060000600,9,0x2,-1,1580
4438153.504,54,0,6,0x8001060000600,10,0x2,-1,3828
4438153.504,54,0,6,0x8001060000600,29,0x2,-1,2853
4438153.504,54,0,6,0x8001060000600,30,0x2,-1,4095
4438153.504,54,0,6,0x8001060000600,36,0x2,-1,3063
4438153.504,54,0,6,0x8001060000600,51,0x2,-1,3532
4484392.600,55,0,4,0x404000021000,12,0x2,-1,3723
4484392.600,55,0,4,0x404000021000,17,0x2,-1,3610
4484392.600,55,0,4,0x404000021000,38,0x2,-1,3309
4484392.600,55,0,4,0x404000021000,46,0x2,-1,2092
4750358.520,56,0,3,0x1000000008000004,2,0x2,-1,4095
4750358.520,56,0,3,0x1000000008000004,27,0x2,-1,2357
4750358.520,56,0,3,0x1000000008000004,60,0x2,-1,4095
4758299.168,57,0,3,0x800000100002,1,0x2,-1,2783
4758299.168,57,0,3,0x800000100002,20,0x2,-1,3300
4758299.168,57,0,3,0x800000100002,47,0x2,-1,2119
4887408.840,58,0,2,0x2000000400,10,0x2,-1,4095
4887408.840,58,0,2,0x2000000400,37,0x2,-1,4095
4968858.536,59,0,6,0x8000206000048,3,0x2,-1,2950
4968858.536,59,0,6,0x8000206000048,6,0x2,-1,3446
4968858.536,59,0,6,0x8000206000048,25,0x2,-1,4095
4968858.536,59,0,6,0x8000206000048,26,0x2,-1,3342
4968858.536,59,0,6,0x8000206000048,33,0x2,-1,4095
4968858.536,59,0,6,0x8000206000048,51,0x2,-1,3948
5091903.872,60,0,3,0x8008000008000,15,0x2,-1,4095
5091903.872,60,0,3,0x8008000008000,39,0x2,-1,4095
5091903.872,60,0,3,0x8008000008000,51,0x2,-1,4095
5114819.488,61,0,3,0x1000000040000080,7,0x2,-1,3549
5114819.488,61,0,3,0x1000000040000080,30,0x2,-1,2403
5114819.488,61,0,3,0x1000000040000080,60,0x2,-1,3449
5330807.680,62,0,6,0x408010802000020,5,0x2,-1,4095
5330807.680,62,0,6,0x408010802000020,25,0x2,-1,2414
5330807.680,62,0,6,0x408010802000020,35,0x2,-1,3270
5330807.680,62,0,6,0x408010802000020,40,0x2,-1,2883
5330807.680,62,0,6,0x408010802000020,51,0x2,-1,4095
5330807.680,62,0,6,0x408010802000020,58,0x2,-1,4095
5352021.216,63,0,4,0x40010000040004,2,0x2,-1,4095
5352021.216,63,0,4,0x40010000040004,18,0x2,-1,2399
5352021.216,63,0,4,0x40010000040004,40,0x2,-1,2259
5352021.216,63,0,4,0x40010000040004,54,0x2,-1,4095
5355335.632,64,0,4,0x40000400080100,8,0x2,-1,2331
5355335.632,64,0,4,0x40000400080100,19,0x2,-1,4095
5355335.632,64,0,4,0x40000400080100,34,0x2,-1,1840
5355335.632,64,0,4,0x40000400080100,54,0x2,-1,2937
5386684.880,65,0,3,0x400001002000,13,0x2,-1,1728
5386684.880,65,0,3,0x400001002000,24,0x2,-1,3101
5386684.880,65,0,3,0x400001002000,46,0x2,-1,2125
5506620.016,66,0,3,0x200000000080004,2,0x2,-1,4095
5506620.016,66,0,3,0x200000000080004,19,0x2,-1,2579
5506620.016,66,0,3,0x200000000080004,57,0x2,-1,3445
5544638.288,67,0,4,0x1000100040010,4,0x2,-1,3664
5544638.288,67,0,4,0x1000100040010,18,0x2,-1,4095
5544638.288,67,0,4,0x1000100040010,32,0x2,-1,3323
5544638.288,67,0,4,0x1000100040010,48,0x2,-1,1738
5713667.608,68,0,4,0x8000202000800,11,0x2,-1,4095
5713667.608,68,0,4,0x8000202000800,25,0x2,-1,4095
5713667.608,68,0,4,0x8000202000800,33,0x2,-1,3914
5713667.608,68,0,4,0x8000202000800,51,0x2,-1,2483
5752915.016,69,0,3,0x40002000040000,18,0x2,-1,3340
5752915.016,69,0,3,0x40002000040000,37,0x2,-1,4095
5752915.016,69,0,3,0x40002000040000,54,0x2,-1,1890
5786291.464,70,0,3,0x400000400800000,23,0x2,-1,3351
5786291.464,70,0,3,0x400000400800000,34,0x2,-1,1564
5786291.464,70,0,3,0x400000400800000,58,0x2,-1,4095
5884872.280,71,0,4,0x180088000,15,0x2,-1,4095
5884872.280,71,0,4,0x180088000,19,0x2,-1,4095
5884872.280,71,0,4,0x180088000,31,0x2,-1,1603
5884872.280,71,0,4,0x180088000,32,0x2,-1,3413
5888085.928,72,0,3,0x108000010,4,0x2,-1,3553
5888085.928,72,0,3,0x108000010,27,0x2,-1,4095
5888085.928,72,0,3,0x108000010,32,0x2,-1,3064
5946040.576,73,0,4,0x820001000008,3,0x2,-1,2410
5946040.576,73,0,4,0x820001000008,24,0x2,-1,3681
5946040.576,73,0,4,0x820001000008,41,0x2,-1,4095
5946040.576,73,0,4,0x820001000008,47,0x2,-1,2615
6077613.808,74,0,4,0x20040002000200,9,0x2,-1,3999
6077613.808,74,0,4,0x20040002000200,25,0x2,-1,3693
6077613.808,74,0,4,0x20040002000200,42,0x2,-1,4095
6077613.808,74,0,4,0x20040002000200,53,0x2,-1,2438
6348879.256,75,0,3,0x4002000000040,6,0x2,-1,2438
6348879.256,75,0,3,0x4002000000040,37,0x2,-1,4095
6348879.256,75,0,3,0x4002000000040,50,0x2,-1,2588
6367650.032,76,0,4,0x400100020000800,11,0x2,-1,3337
6367650.032,76,0,4,0x400100020000800,29,0x2,-1,4095
6367650.032,76,0,4,0x400100020000800,44,0x2,-1,3059
6367650.032,76,0,4,0x400100020000800,58,0x2,-1,4095
6440197.896,77,0,3,0x2080002000000,25,0x2,-1,3606
6440197.896,77,0,3,0x2080002000000,43,0x2,-1,2828
6440197.896,77,0,3,0x2080002000000,49,0x2,-1,2378
6495521.544,78,0,3,0x8000200800000,23,0x2,-1,4095
6495521.544,78,0,3,0x8000200800000,33,0x2,-1,3550
6495521.544,78,0,3,0x8000200800000,51,0x2,-1,2861
6508152.464,79,0,4,0x440010004000,14,0x2,-1,3560
6508152.464,79,0,4,0x440010004000,28,0x2,-1,3944
6508152.464,79,0,4,0x440010004000,42,0x2,-1,3736
6508152.464,79,0,4,0x440010004000,46,0x2,-1,1709
6552803.408,80,0,3,0x40200000800000,23,0x2,-1,3542
6552803.408,80,0,3,0x40200000800000,45,0x2,-1,2271
6552803.408,80,0,3,0x40200000800000,54,0x2,-1,2965
6603985.328,81,0,4,0x20010000200800,11,0x2,-1,3756
6603985.328,81,0,4,0x20010000200800,21,0x2,-1,2193
6603985.328,81,0,4,0x20010000200800,40,0x2,-1,2311
6603985.328,81,0,4,0x20010000200800,53,0x2,-1,2029
6640063.576,82,0,3,0x40080040000000,30,0x2,-1,2859
6640063.576,82,0,3,0x40080040000000,43,0x2,-1,3978
6640063.576,82,0,3,0x40080040000000,54,0x2,-1,2261
6669973.144,83,0,10,0x800007c800340,6,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,8,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,9,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,23,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,26,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,27,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,28,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,29,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,30,0x2,-1,4095
6669973.144,83,0,10,0x800007c800340,51,0x2,-1,4095
6760521.672,84,0,4,0x20080000020100,8,0x2,-1,3546
6760521.672,84,0,4,0x20080000020100,17,0x2,-1,1587
6760521.672,84,0,4,0x20080000020100,43,0x2,-1,2316
6760521.672,84,0,4,0x20080000020100,53,0x2,-1,2265
6783299.312,85,0,2,0x1000000000800000,23,0x2,-1,4095
6783299.312,85,0,2,0x1000000000800000,60,0x2,-1,2750
6809329.360,86,0,4,0x100020002000020,5,0x2,-1,2972
6809329.360,86,0,4,0x100020002000020,25,0x2,-1,1732
6809329.360,86,0,4,0x100020002000020,41,0x2,-1,2450
6809329.360,86,0,4,0x100020002000020,56,0x2,-1,2427
6959016.816,87,0,4,0x100080008000080,7,0x2,-1,3137
6959016.816,87,0,4,0x100080008000080,27,0x2,-1,1928
6959016.816,87,0,4,0x100080008000080,43,0x2,-1,2062
6959016.816,87,0,4,0x100080008000080,56,0x2,-1,2094
7028078.400,88,0,4,0x1002040008000,15,0x2,-1,1968
7028078.400,88,0,4,0x1002040008000,30,0x2,-1,4095
7028078.400,88,0,4,0x1002040008000,37,0x2,-1,4095
7028078.400,88,0,4,0x1002040008000,48,0x2,-1,1938
7071770.648,89,0,4,0x404000200200,9,0x2,-1,2808
7071770.648,89,0,4,0x404000200200,21,0x2,-1,1853
7071770.648,89,0,4,0x404000200200,38,0x2,-1,2485
7071770.648,89,0,4,0x404000200200,46,0x2,-1,2593
7077733.136,90,0,4,0x4001010000800,11,0x2,-1,2076
7077733.136,90,0,4,0x4001010000800,28,0x2,-1,4095
7077733.136,90,0,4,0x4001010000800,36,0x2,-1,4095
7077733.136,90,0,4,0x4001010000800,50,0x2,-1,2110
7109095.672,91,0,4,0x200008008000080,7,0x2,-1,4095
7109095.672,91,0,4,0x200008008000080,27,0x2,-1,4095
7109095.672,91,0,4,0x200008008000080,39,0x2,-1,2174
7109095.672,91,0,4,0x200008008000080,57,0x2,-1,2194
7523798.768,92,0,3,0x20040000040000,18,0x2,-1,2564
7523798.768,92,0,3,0x20040000040000,42,0x2,-1,4095
7523798.768,92,0,3,0x20040000040000,53,0x2,-1,2599
7595267.184,93,0,3,0x101001000,12,0x2,-1,4095
7595267.184,93,0,3,0x101001000,24,0x2,-1,4095
7595267.184,93,0,3,0x101001000,32,0x2,-1,3087
7610223.280,94,0,3,0x80010020000000,29,0x2,-1,3627
7610223.280,94,0,3,0x80010020000000,40,0x2,-1,2776
7610223.280,94,0,3,0x80010020000000,55,0x2,-1,4095
7634507.648,95,0,4,0x4000088000200,9,0x2,-1,1809
7634507.648,95,0,4,0x4000088000200,27,0x2,-1,3548
7634507.648,95,0,4,0x4000088000200,31,0x2,-1,1959
7634507.648,95,0,4,0x4000088000200,50,0x2,-1,2081
7664572.024,96,0,3,0x10080000800000,23,0x2,-1,1753
7664572.024,96,0,3,0x10080000800000,43,0x2,-1,3297
7664572.024,96,0,3,0x10080000800000,52,0x2,-1,3606
7809308.144,97,0,4,0x100020001000100,8,0x2,-1,2463
7809308.144,97,0,4,0x100020001000100,24,0x2,-1,3611
7809308.144,97,0,4,0x100020001000100,41,0x2,-1,2724
7809308.144,97,0,4,0x100020001000100,56,0x2,-1,2671
7813849.880,98,0,5,0x8000802000810,4,0x2,-1,2002
7813849.880,98,0,5,0x8000802000810,11,0x2,-1,4095
7813849.880,98,0,5,0x8000802000810,25,0x2,-1,4095
7813849.880,98,0,5,0x8000802000810,35,0x2,-1,4095
7813849.880,98,0,5,0x8000802000810,51,0x2,-1,2816
8056383.304,99,0,4,0x1000002000100080,7,0x2,-1,4095
8056383.304,99,0,4,0x1000002000100080,20,0x2,-1,2481
8056383.304,99,0,4,0x1000002000100080,37,0x2,-1,4053
8056383.304,99,0,4,0x1000002000100080,60,0x2,-1,3393
8058839.416,100,0,3,0x2004000800000,23,0x2,-1,4095
8058839.416,100,0,3,0x2004000800000,38,0x2,-1,4095
8058839.416,100,0,3,0x2004000800000,49,0x2,-1,1728
8189876.352,101,0,4,0x8040000080002,1,0x2,-1,2933
8189876.352,101,0,4,0x8040000080002,19,0x2,-1,1619
8189876.352,101,0,4,0x8040000080002,42,0x2,-1,4095
8189876.352,101,0,4,0x8040000080002,51,0x2,-1,4095
8275561.496,102,0,4,0x4080008001000,12,0x2,-1,2332
8275561.496,102,0,4,0x4080008001000,27,0x2,-1,4095
8275561.496,102,0,4,0x4080008001000,43,0x2,-1,1720
8275561.496,102,0,4,0x4080008001000,50,0x2,-1,2690
8299723.464,103,0,4,0x401000401000,12,0x2,-1,4095
8299723.464,103,0,4,0x401000401000,22,0x2,-1,3358
8299723.464,103,0,4,0x401000401000,36,0x2,-1,2867
8299723.464,103,0,4,0x401000401000,46,0x2,-1,1551
8397947.600,104,0,4,0x2008004001000,12,0x2,-1,4095
8397947.600,104,0,4,0x2008004001000,26,0x2,-1,4095
8397947.600,104,0,4,0x2008004001000,39,0x2,-1,4095
8397947.600,104,0,4,0x2008004001000,49,0x2,-1,1784
8403247.824,105,0,4,0x4008000200004,2,0x2,-1,2920
8403247.824,105,0,4,0x4008000200004,21,0x2,-1,1840
8403247.824,105,0,4,0x4008000200004,39,0x2,-1,3686
8403247.824,105,0,4,0x4008000200004,50,0x2,-1,3769
8425981.616,106,0,4,0x200008001000010,4,0x2,-1,1849
8425981.616,106,0,4,0x200008001000010,24,0x2,-1,2594
8425981.616,106,0,4,0x200008001000010,39,0x2,-1,3451
8425981.616,106,0,4,0x200008001000010,57,0x2,-1,3409
8624366.648,107,0,4,0x2200002004000,14,0x2,-1,2788
8624366.648,107,0,4,0x2200002004000,25,0x2,-1,4095
8624366.648,107,0,4,0x2200002004000,45,0x2,-1,4095
8624366.648,107,0,4,0x2200002004000,49,0x2,-1,1651
8785753.320,108,0,3,0x400000000010100,8,0x2,-1,4095
8785753.320,108,0,3,0x400000000010100,16,0x2,-1,2830
8785753.320,108,0,3,0x400000000010100,58,0x2,-1,4095
9119997.000,109,0,4,0x8008008000008,3,0x2,-1,4095
9119997.000,109,0,4,0x8008008000008,27,0x2,-1,4095
9119997.000,109,0,4,0x8008008000008,39,0x2,-1,4095
9119997.000,109,0,4,0x8008008000008,51,0x2,-1,2366
9128562.856,110,0,3,0x10004000020,5,0x2,-1,2941
9128562.856,110,0,3,0x10004000020,26,0x2,-1,4095
9128562.856,110,0,3,0x10004000020,40,0x2,-1,2327
9144988.080,111,0,4,0x400000440000080,7,0x2,-1,4095
9144988.080,111,0,4,0x400000440000080,30,0x2,-1,3299
9144988.080,111,0,4,0x400000440000080,34,0x2,-1,2055
9144988.080,111,0,4,0x400000440000080,58,0x2,-1,3393
9166770.368,112,0,3,0x800110000000,28,0x2,-1,4095
9166770.368,112,0,3,0x800110000000,32,0x2,-1,4095
9166770.368,112,0,3,0x800110000000,47,0x2,-1,2284
9205747.856,113,0,4,0x10008040000200,9,0x2,-1,1869
9205747.856,113,0,4,0x10008040000200,30,0x2,-1,2701
9205747.856,113,0,4,0x10008040000200,39,0x2,-1,4095
9205747.856,113,0,4,0x10008040000200,52,0x2,-1,2216
9237081.184,114,0,2,0x400008000,15,0x2,-1,2626
9237081.184,114,0,2,0x400008000,34,0x2,-1,2555
9304316.280,115,0,4,0x100001000040004,2,0x2,-1,4095
9304316.280,115,0,4,0x100001000040004,18,0x2,-1,2464
9304316.280,115,0,4,0x100001000040004,36,0x2,-1,2177
9304316.280,115,0,4,0x100001000040004,56,0x2,-1,2045
9305946.472,116,0,2,0x80000080000000,31,0x2,-1,2027
9305946.472,116,0,2,0x80000080000000,55,0x2,-1,2851
9456011.960,117,0,4,0x8000404000010,4,0x2,-1,2164
9456011.960,117,0,4,0x8000404000010,26,0x2,-1,2936
9456011.960,117,0,4,0x8000404000010,34,0x2,-1,2750
9456011.960,117,0,4,0x8000404000010,51,0x2,-1,1976
9506008.088,118,0,3,0x1000000000040008,3,0x2,-1,4095
9506008.088,118,0,3,0x1000000000040008,18,0x2,-1,3277
