//************************************************
//Board:5202
//File_Format_Version:3.4
//Janus_Release:4.3.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:1
//Start_Time_Epoch:1771616232145
//Start_Time_DateTime_UTC:Fri Feb 20 19:37:12 2026
//************************************************
TStamp_us,Trg_Id,Board_Id,Num_Chs,ChannelMask,CH_Id,DataType,PHA_LG,PHA_HG
2017189.856,0,0,4,0x400000802001000,12,0x2,-1,3877
2017189.856,0,0,4,0x400000802001000,25,0x2,-1,4355
2017189.856,0,0,4,0x400000802001000,35,0x2,-1,4676
2017189.856,0,0,4,0x400000802001000,58,0x2,-1,3872
12779759.048,1,0,4,0x2000200010800,11,0x2,-1,4233
12779759.048,1,0,4,0x2000200010800,16,0x2,-1,5229
12779759.048,1,0,4,0x2000200010800,33,0x2,-1,4832
12779759.048,1,0,4,0x2000200010800,49,0x2,-1,3246
22076209.536,2,0,4,0x800000000010180,7,0x2,-1,3547
22076209.536,2,0,4,0x800000000010180,8,0x2,-1,3101
22076209.536,2,0,4,0x800000000010180,16,0x2,-1,3154
22076209.536,2,0,4,0x800000000010180,59,0x2,-1,3434
22318088.280,60,0,4,0x400080000400010,4,0x2,-1,3326
22318088.280,60,0,4,0x400080000400010,22,0x2,-1,4625
22318088.280,60,0,4,0x400080000400010,43,0x2,-1,3385
22318088.280,60,0,4,0x400080000400010,58,0x2,-1,4307
22364013.000,61,0,18,0x1164e82100c9004c,2,0x2,-1,4497
22364013.000,61,0,18,0x1164e82100c9004c,3,0x2,-1,4453
22364013.000,61,0,18,0x1164e82100c9004c,6,0x2,-1,3348
22364013.000,61,0,18,0x1164e82100c9004c,16,0x2,-1,4703
22364013.000,61,0,18,0x1164e82100c9004c,19,0x2,-1,4250
22364013.000,61,0,18,0x1164e82100c9004c,22,0x2,-1,4195
22364013.000,61,0,18,0x1164e82100c9004c,23,0x2,-1,3973
22364013.000,61,0,18,0x1164e82100c9004c,32,0x2,-1,3624
22364013.000,61,0,18,0x1164e82100c9004c,37,0x2,-1,3718
22364013.000,61,0,18,0x1164e82100c9004c,43,0x2,-1,3368
22364013.000,61,0,18,0x1164e82100c9004c,45,0x2,-1,4406
22364013.000,61,0,18,0x1164e82100c9004c,46,0x2,-1,3764
22364013.000,61,0,18,0x1164e82100c9004c,47,0x2,-1,3209
22364013.000,61,0,18,0x1164e82100c9004c,50,0x2,-1,3395
22364013.000,61,0,18,0x1164e82100c9004c,53,0x2,-1,3612
22364013.000,61,0,18,0x1164e82100c9004c,54,0x2,-1,3345
22364013.000,61,0,18,0x1164e82100c9004c,56,0x2,-1,3122
22364013.000,61,0,18,0x1164e82100c9004c,60,0x2,-1,3635
23464528.432,62,0,9,0x4000c0044400150,4,0x2,-1,3628
23464528.432,62,0,9,0x4000c0044400150,6,0x2,-1,4333
23464528.432,62,0,9,0x4000c0044400150,8,0x2,-1,4402
23464528.432,62,0,9,0x4000c0044400150,22,0x2,-1,4294
23464528.432,62,0,9,0x4000c0044400150,26,0x2,-1,3672
23464528.432,62,0,9,0x4000c0044400150,30,0x2,-1,3655
23464528.432,62,0,9,0x4000c0044400150,42,0x2,-1,3140
23464528.432,62,0,9,0x4000c0044400150,43,0x2,-1,3261
23464528.432,62,0,9,0x4000c0044400150,58,0x2,-1,7219
26095631.064,63,0,4,0x80000200404000,14,0x2,-1,4767
26095631.064,63,0,4,0x80000200404000,22,0x2,-1,4963
26095631.064,63,0,4,0x80000200404000,33,0x2,-1,4909
26095631.064,63,0,4,0x80000200404000,55,0x2,-1,4278
28247898.344,64,0,4,0x404000020004,2,0x2,-1,4444
28247898.344,64,0,4,0x404000020004,17,0x2,-1,3519
28247898.344,64,0,4,0x404000020004,38,0x2,-1,4651
28247898.344,64,0,4,0x404000020004,46,0x2,-1,3610
29298366.192,65,0,4,0x400000240000800,11,0x2,-1,3381
29298366.192,65,0,4,0x400000240000800,30,0x2,-1,4906
29298366.192,65,0,4,0x400000240000800,33,0x2,-1,4191
29298366.192,65,0,4,0x400000240000800,58,0x2,-1,4668
30808458.024,66,0,4,0x20002000010400,10,0x2,-1,3782
30808458.024,66,0,4,0x20002000010400,16,0x2,-1,3990
30808458.024,66,0,4,0x20002000010400,37,0x2,-1,4379
30808458.024,66,0,4,0x20002000010400,53,0x2,-1,3826
34672048.720,67,0,4,0x80200040001000,12,0x2,-1,3274
34672048.720,67,0,4,0x80200040001000,30,0x2,-1,4261
34672048.720,67,0,4,0x80200040001000,45,0x2,-1,3295
34672048.720,67,0,4,0x80200040001000,55,0x2,-1,4249
42385345.912,68,0,5,0x80002005000400,10,0x2,-1,3704
42385345.912,68,0,5,0x80002005000400,24,0x2,-1,4603
42385345.912,68,0,5,0x80002005000400,26,0x2,-1,3824
42385345.912,68,0,5,0x80002005000400,37,0x2,-1,5385
42385345.912,68,0,5,0x80002005000400,55,0x2,-1,3399
43183914.536,69,0,4,0x80100040000010,4,0x2,-1,3436
43183914.536,69,0,4,0x80100040000010,30,0x2,-1,4630
43183914.536,69,0,4,0x80100040000010,44,0x2,-1,3817
43183914.536,69,0,4,0x80100040000010,55,0x2,-1,4665
47749860.224,70,0,4,0x402008000400,10,0x2,-1,4520
47749860.224,70,0,4,0x402008000400,27,0x2,-1,3686
47749860.224,70,0,4,0x402008000400,37,0x2,-1,4205
47749860.224,70,0,4,0x402008000400,46,0x2,-1,3682
48995303.736,71,0,4,0x80080008000008,3,0x2,-1,4236
48995303.736,71,0,4,0x80080008000008,27,0x2,-1,4036
48995303.736,71,0,4,0x80080008000008,43,0x2,-1,3630
48995303.736,71,0,4,0x80080008000008,55,0x2,-1,4257
54024438.784,72,0,6,0x1080040001200020,5,0x2,-1,4725
54024438.784,72,0,6,0x1080040001200020,21,0x2,-1,3548
54024438.784,72,0,6,0x1080040001200020,24,0x2,-1,5020
54024438.784,72,0,6,0x1080040001200020,42,0x2,-1,3548
54024438.784,72,0,6,0x1080040001200020,55,0x2,-1,4164
54024438.784,72,0,6,0x1080040001200020,60,0x2,-1,3983
56137704.368,73,0,4,0x20040002004000,14,0x2,-1,6689
56137704.368,73,0,4,0x20040002004000,25,0x2,-1,5653
56137704.368,73,0,4,0x20040002004000,42,0x2,-1,4317
56137704.368,73,0,4,0x20040002004000,53,0x2,-1,4153
57156732.552,74,0,3,0x8008000004,2,0x2,-1,4127
57156732.552,74,0,3,0x8008000004,27,0x2,-1,3755
57156732.552,74,0,3,0x8008000004,39,0x2,-1,4962
58133749.768,75,0,7,0x410003201200,9,0x2,-1,3981
58133749.768,75,0,7,0x410003201200,12,0x2,-1,5564
58133749.768,75,0,7,0x410003201200,21,0x2,-1,4267
58133749.768,75,0,7,0x410003201200,24,0x2,-1,3553
58133749.768,75,0,7,0x410003201200,25,0x2,-1,4297
58133749.768,75,0,7,0x410003201200,40,0x2,-1,4262
58133749.768,75,0,7,0x410003201200,46,0x2,-1,3779
58419044.528,76,0,7,0x2e0000380000000,31,0x2,-1,5007
58419044.528,76,0,7,0x2e0000380000000,32,0x2,-1,3341
58419044.528,76,0,7,0x2e0000380000000,33,0x2,-1,3140
58419044.528,76,0,7,0x2e0000380000000,53,0x2,-1,3481
58419044.528,76,0,7,0x2e0000380000000,54,0x2,-1,4747
58419044.528,76,0,7,0x2e0000380000000,55,0x2,-1,8191
58419044.528,76,0,7,0x2e0000380000000,57,0x2,-1,3174
59663270.184,77,0,6,0x40020000c4400,10,0x2,-1,4400
59663270.184,77,0,6,0x40020000c4400,14,0x2,-1,3852
59663270.184,77,0,6,0x40020000c4400,18,0x2,-1,4554
59663270.184,77,0,6,0x40020000c4400,19,0x2,-1,3917
59663270.184,77,0,6,0x40020000c4400,37,0x2,-1,5194
59663270.184,77,0,6,0x40020000c4400,50,0x2,-1,3281
62230548.760,78,0,6,0x400020001100402,1,0x2,-1,3589
62230548.760,78,0,6,0x400020001100402,10,0x2,-1,4190
62230548.760,78,0,6,0x400020001100402,20,0x2,-1,3455
62230548.760,78,0,6,0x400020001100402,24,0x2,-1,3721
62230548.760,78,0,6,0x400020001100402,41,0x2,-1,3428
62230548.760,78,0,6,0x400020001100402,58,0x2,-1,4640
66979487.856,79,0,4,0x1020040000800,11,0x2,-1,3209
66979487.856,79,0,4,0x1020040000800,30,0x2,-1,4420
66979487.856,79,0,4,0x1020040000800,41,0x2,-1,5001
66979487.856,79,0,4,0x1020040000800,48,0x2,-1,3509
67518263.288,80,0,6,0x800100040812000,13,0x2,-1,3401
67518263.288,80,0,6,0x800100040812000,16,0x2,-1,4588
67518263.288,80,0,6,0x800100040812000,23,0x2,-1,4246
